  __________________________________________________
 | Quick Search # | Commodity Name | Commodity Code |
 |________________|________________|________________|
 |       1        | 3003 ALSolids  |     10008      |
 |________________|________________|________________|
 |       2        |   ALCarRims    |     12050      |
 |________________|________________|________________|
 |       3        |   BareBright   |     10001      |
 |________________|________________|________________|
 |       4        |    Copper#1    |     10002      |
 |________________|________________|________________|
 |       5        |    Copper#2    |     10003      |
 |________________|________________|________________|
